week_date,week_count,sui1,sui2,sui3,neg,pos,pre
2012-04-08,10,29,0,27,0.87,0.972,10
2012-04-15,15,100,80,41,1.183,1.309,15
2012-04-22,6,26,0,27,0.833,0.825,6
2012-04-29,7,52,0,25,0.719,1.403,7
2012-05-06,20,52,0,29,1.434,1.268,20
2012-05-13,12,26,80,0,1.356,0.921,12
2012-05-20,16,0,0,27,1.301,1.496,16
2012-05-27,10,52,0,61,1.263,1.166,10
2012-06-03,7,0,0,41,0.895,0.767,7
2012-06-10,6,52,0,27,1.137,0.538,6
2012-06-17,8,25,0,79,1.116,1.399,8
2012-06-24,11,27,100,85,0.873,1.45,11
2012-07-01,16,30,0,42,0.821,0.79,16
2012-07-08,14,25,0,42,0.652,0.774,14
2012-07-15,13,0,0,32,0.59,1.121,13
2012-07-22,13,25,0,25,1.422,1.452,13
2012-07-29,3,0,0,30,0.922,0.506,3
2012-08-05,19,52,0,42,0.711,0.837,19
2012-08-12,10,52,100,42,0.898,0.687,10
2012-08-19,11,52,0,56,1.207,0.585,11
2012-08-26,8,25,89,29,0.616,1.11,8
2012-09-02,9,46,0,69,0.918,0.872,9
2012-09-09,13,35,0,32,1.09,1.181,13
2012-09-16,12,35,78,27,1.05,1.444,12
2012-09-23,13,26,0,31,1.467,1.378,13
2012-09-30,9,26,0,26,0.586,0.846,9
2012-10-07,14,25,78,42,0.935,1.095,14
2012-10-14,15,29,0,56,1.346,1.025,15
2012-10-21,8,30,0,91,1.136,0.805,8
2012-10-28,11,48,0,29,1.186,1.258,11
2012-11-04,7,0,100,36,0.663,1.329,7
2012-11-11,13,28,0,69,0.544,1.181,13
2012-11-18,9,52,0,32,0.75,1.266,9
2012-11-25,10,24,100,61,0.686,0.646,10
2012-12-02,10,38,0,29,1.341,1.199,10
2012-12-09,9,26,0,41,1.436,1.128,9
2012-12-16,13,48,0,31,0.705,1.306,13
2012-12-23,15,30,0,32,0.578,0.897,15
2012-12-30,12,51,0,29,0.653,0.78,12
2013-01-06,15,35,0,32,1.092,1.448,15
2013-01-13,10,24,0,31,0.948,0.937,10
2013-01-20,8,25,100,27,1.411,1.437,8
2013-01-27,16,0,0,30,1.44,1.386,16
2013-02-03,14,100,0,25,0.83,0.775,14
2013-02-10,10,30,0,25,1.431,1.188,10
2013-02-17,5,27,85,29,0.857,1.161,5
2013-02-24,10,67,0,25,1.444,0.768,10
2013-03-03,10,46,100,36,0.991,1.34,10
2013-03-10,9,0,0,0,0.74,0.993,9
2013-03-17,15,50,0,50,1.326,0.601,15
2013-03-24,12,38,0,32,1.291,1.247,12
2013-03-31,11,22,0,28,1.269,1.124,11
2013-04-07,8,25,0,49,1.218,1.294,8
2013-04-14,11,36,0,56,1.46,1.365,11
2013-04-21,7,46,92,31,0.894,1.041,7
2013-04-28,8,0,0,32,0.865,1.232,8
2013-05-05,13,0,0,26,1.411,0.669,13
2013-05-12,12,38,0,32,0.905,0.944,12
2013-05-19,16,25,0,41,0.906,0.535,16
2013-05-26,10,0,0,32,1.194,1.137,10
2013-06-02,14,47,0,56,1.288,0.892,14
2013-06-09,8,36,0,32,0.676,0.934,8
2013-06-16,12,0,100,27,1.365,1.491,12
2013-06-23,12,35,80,36,0.501,1.287,12
2013-06-30,10,47,0,31,0.636,1.303,10
2013-07-07,9,46,0,41,0.832,1.458,9
2013-07-14,9,26,100,28,1.419,0.616,9
